IP;MAC;Máscara;DATA;NomeDNS;TAG
10.37.11.60;1C:69:7A:ED:85:91;255.255.255.0;2024-09-19 10:55:55;EDPE1234567;
10.37.11.73;1C:69:7A:ED:8A:3B;255.255.255.0;2024-09-19 10:55:55;10.37.11.73;
10.37.11.165;4C:72:B9:8B:83:0B;255.255.255.0;2024-09-19 10:55:55;PEF-CONF5;
10.37.11.169;4C:72:B9:8B:87:10;255.255.255.0;2024-09-19 10:55:55;PEF-CONF1;
10.37.11.133;4C:72:B9:8B:8B:04;255.255.255.0;2024-09-19 10:55:55;PEF-CONF3;
10.37.11.180;54:BE:F7:00:EA:5C;255.255.255.0;2024-09-19 10:55:55;Usuario-PC;
10.37.11.138;54:BE:F7:00:EA:65;255.255.255.0;2024-09-19 10:55:55;PEF-CONF2;
10.37.70.76;1C:69:7A:EC:62:7E;255.255.255.0;2024-09-18 10:06:31;EDPE4059277;
10.37.9.251;04:92:26:D3:23:F1;255.255.255.0;2024-09-18 14:23:55;CEEBJA-ROBERTO;
10.37.9.10;D0:00:5A:20:67:B0;255.255.255.0;2024-09-19 05:35:59;10.37.9.10;
10.37.9.159;00:10:4B:C7:4B:9F;255.255.255.0;2024-09-19 10:39:57;EDPE0038613;
10.37.9.109;1C:69:7A:ED:85:A4;255.255.255.0;2024-09-19 10:39:57;EDPE4055866;
10.37.29.134;00:07:E9:0B:43:A1;255.255.255.0;2024-09-19 11:07:00;PEF2-PONTO;
10.37.29.114;10:05:01:98:8E:78;255.255.255.0;2024-09-19 11:07:00;SERVIDOR;
10.37.29.40;1C:69:7A:ED:88:F4;255.255.255.0;2024-09-19 11:07:00;10.37.29.40;
10.37.29.234;70:85:C2:7D:C7:24;255.255.255.0;2024-09-19 11:07:00;PEF2-SECRETARIA;
10.37.29.157;D0:94:66:CB:14:3C;255.255.255.0;2024-09-19 11:07:00;10.37.29.157;
10.37.29.158;D0:94:66:CB:15:26;255.255.255.0;2024-09-19 11:07:00;10.37.29.158;
10.37.10.84;08:54:11:8E:DB:F8;255.255.255.0;2024-09-19 11:38:01;10.37.10.84;
10.37.10.141;0C:54:A5:BD:42:9E;255.255.255.0;2024-09-19 11:38:01;10.37.10.141;
10.37.10.147;9C:14:63:C0:FC:D0;255.255.255.0;2024-09-19 11:38:01;10.37.10.147;
10.37.86.113;0C:54:A5:BD:A0:F3;255.255.255.0;2024-09-19 11:21:34;CPPALO-SERVIDOR;
10.37.86.5;54:BE:F7:00:EA:10;255.255.255.0;2024-09-19 11:21:34;EDPE-GESTOR2;
10.37.92.44;00:24:8C:D1:8D:47;255.255.255.0;2024-09-19 10:47:02;DEPEN-PC;
10.37.31.166;10:05:01:98:8D:AE;255.255.255.0;2024-09-18 15:20:38;EDPE3125961;
10.37.31.119;00:30:67:99:0A:26;255.255.255.0;2024-09-19 11:32:45;LAPA-PC;
10.37.31.144;00:90:F5:9B:4F:41;255.255.255.0;2024-09-19 11:32:45;10.37.31.144;
10.37.25.62;A4:4B:D5:E9:26:A6;255.255.255.0;2024-09-18 18:10:51;10.37.25.62;
10.37.25.79;DC:6A:E7:F4:E2:29;255.255.255.0;2024-09-18 18:10:51;10.37.25.79;
10.37.25.73;e4:84:d3:d4:9c:06;255.255.255.0;2024-09-19 07:41:54;-;
10.37.25.124;00:1E:2C:5A:2A:3B;255.255.255.0;2024-09-19 11:13:10;ESEED2601016;
10.37.25.223;1C:69:7A:ED:7D:4A;255.255.255.0;2024-09-19 11:13:10;10.37.25.223;
10.37.25.16;2C:4D:54:51:B1:29;255.255.255.0;2024-09-19 11:13:10;DESKTOP-9G11CU6;
10.37.25.183;60:18:95:16:82:66;255.255.255.0;2024-09-19 11:13:10;DESKTOP-3BH4NKH;
10.37.25.229;60:C7:27:03:3E:C6;255.255.255.0;2024-09-19 11:13:10;EDPE4061038;
10.37.25.163;70:85:C2:6E:FA:4A;255.255.255.0;2024-09-19 11:13:10;ESEED2601015;
10.37.25.208;70:B3:D5:4E:A6:A0;255.255.255.0;2024-09-19 11:13:10;10.37.25.208;
10.37.27.172;10:05:01:98:8F:68;255.255.255.0;2024-09-19 10:52:47;10.37.27.172;
10.37.27.204;A4:BA:DB:05:E3:9C;255.255.255.0;2024-09-19 10:52:47;EDPE0011685;
10.37.27.202;A4:BA:DB:05:E3:AD;255.255.255.0;2024-09-19 10:52:47;DESKTOP-GVTG6GB;
10.37.27.192;A8:A1:59:D8:47:E9;255.255.255.0;2024-09-19 10:52:47;10.37.27.192;
10.37.27.147;A8:A1:59:D8:47:EF;255.255.255.0;2024-09-19 10:52:47;EDPE4053675;
10.37.27.132;A8:A1:59:D8:47:F1;255.255.255.0;2024-09-19 10:52:47;10.37.27.132;
10.37.27.133;A8:A1:59:D8:4B:17;255.255.255.0;2024-09-19 10:52:47;10.37.27.133;
10.37.27.134;A8:A1:59:D8:4D:AE;255.255.255.0;2024-09-19 10:52:47;10.37.27.134;
10.37.27.135;A8:A1:59:D8:4D:B5;255.255.255.0;2024-09-19 10:52:47;EDPE4053677;
10.37.27.141;A8:A1:59:D8:4D:B6;255.255.255.0;2024-09-19 10:52:47;pceclusa.pec.local;
10.37.27.156;A8:A1:59:D8:4D:BD;255.255.255.0;2024-09-19 10:52:47;edpe4053679.pec.local;
10.37.27.122;B0:4F:13:13:92:E8;255.255.255.0;2024-09-19 10:52:47;ceebjacrd3.pec.local;
10.37.27.10;D0:00:5A:20:67:C0;255.255.255.0;2024-09-19 10:52:47;10.37.27.10;
10.37.27.113;D8:5E:D3:67:F4:57;255.255.255.0;2024-09-19 10:52:47;10.37.27.113;
10.37.27.203;F0:4D:A2:DF:2D:6D;255.255.255.0;2024-09-19 10:52:47;10.37.27.203;
10.37.27.176;F4:4D:30:AB:8E:E2;255.255.255.0;2024-09-19 10:52:47;10.37.27.176;
10.37.27.207;A4:BA:DB:05:E3:FF;255.255.255.0;2024-09-18 14:40:37;EDPE0011686;
10.37.27.205;F0:4D:A2:DF:2D:9C;255.255.255.0;2024-09-18 14:40:37;EDPE0013091;
10.37.13.73;10:05:01:98:86:D3;255.255.255.0;2024-09-19 11:27:31;10.37.13.73;
10.37.5.179;1C:1B:0D:7E:B0:98;255.255.255.0;2024-09-19 11:44:59;DESK-NRI03;
10.37.5.178;2C:F0:5D:4B:A7:C2;255.255.255.0;2024-09-19 11:44:59;DESK-NRI02;
10.37.5.180;2C:F0:5D:4B:A7:D0;255.255.255.0;2024-09-19 11:44:59;DESK-NRI04;
10.37.5.176;60:C7:27:03:3F:68;255.255.255.0;2024-09-19 11:44:59;DESK-NRI05;
10.37.5.183;84:47:09:31:35:D0;255.255.255.0;2024-09-19 11:44:59;NB-NRI06;
10.37.5.171;84:7B:EB:45:49:13;255.255.255.0;2024-09-19 11:44:59;NOTE-DELLI7;
10.37.15.10;00:0A:CD:00:08:68;255.255.255.0;2024-09-19 11:43:29;10.37.15.10;
10.37.15.133;00:12:12:75:2F:2F;255.255.255.0;2024-09-19 11:43:29;10.37.15.133;
10.37.15.51;1C:69:7A:ED:88:DD;255.255.255.0;2024-09-19 11:43:29;EDPE4055691;
10.37.15.4;94:C6:91:C5:76:4C;255.255.255.0;2024-09-19 11:43:29;EDPE3939445;
10.37.55.60;1C:69:7A:ED:7A:25;255.255.255.0;2024-09-19 09:50:54;EDPE4055636;
10.37.125.92;00:40:A7:2B:25:7E;255.255.255.0;2024-09-18 14:23:31;EDPE4057728;
10.37.93.72;54:BE:F7:00:B9:64;255.255.255.0;2024-09-19 09:01:30;DESKTOP-N5E6MUM;
10.37.45.10;00:BE:43:CC:76:FD;255.255.255.0;2024-09-19 11:01:48;10.37.45.10;
10.37.14.110;D0:94:66:AD:AE:34;255.255.255.0;2024-09-19 10:57:51;10.37.14.110;
10.37.78.54;74:86:7A:FB:B7:5C;255.255.255.0;2024-09-19 10:20:26;10.37.78.54;
10.37.24.155;00:E0:4C:68:03:E5;255.255.255.0;2024-09-18 13:55:31;DESKTOP-7JTRDLD;
10.37.38.98;08:00:23:C6:E6:C8;255.255.255.0;2024-09-19 11:06:18;10.37.38.98;
10.37.88.62;00:E0:32:15:05:0B;255.255.255.0;2024-09-19 10:47:54;10.37.88.62;
10.37.48.53;10:05:01:98:8D:39;255.255.255.0;2024-09-19 08:28:34;10.37.48.53;
10.37.116.11;6C:B3:11:5B:89:5E;255.255.255.0;2024-09-19 10:57:34;10.37.116.11;
10.37.2.121;98:2A:0A:6C:F2:05;255.255.255.0;2024-09-19 09:02:08;10.37.2.121;
10.37.22.131;70:85:C2:6F:59:48;255.255.255.0;2024-09-18 16:48:33;CEEBJA-PF12;
10.37.23.250;80:85:44:F8:C8:4A;255.255.255.0;2024-09-19 07:34:40;10.37.23.250;
10.37.36.208;70:B3:D5:4E:A3:75;255.255.255.0;2024-09-19 10:57:29;10.37.36.208;
10.37.21.164;48:5F:99:26:10:49;255.255.255.0;2024-09-18 15:08:29;NOTE02;
10.37.4.249;D4:3D:7E:E9:DE:A9;255.255.255.0;2024-09-19 09:36:59;SERVIDOR-SOE;
10.37.40.68;70:85:C2:7D:DA:FE;255.255.255.0;2024-09-19 10:41:11;DESKTOP-5CEAHSF;
10.37.172.3;94:C6:91:C5:77:22;255.255.255.0;2024-09-18 07:32:22;EDPE3910007;
10.37.18.235;D0:94:66:CB:14:5F;255.255.255.0;2024-09-18 11:51:20;EDPE3972146;
10.37.84.120;84:7B:EB:FF:2A:24;255.255.255.0;2024-09-19 08:47:41;SPC-A-PR1838;
10.37.58.80;1C:69:7A:ED:67:2F;255.255.255.0;2024-09-19 11:45:54;DESKTOP-LF4JT5E;
10.37.8.133;D0:94:66:AD:F4:29;255.255.255.0;2024-09-19 10:09:21;DESKTOP-1MC0GN4;
10.37.75.2;D4:3D:7E:EA:03:43;255.255.255.0;2024-09-19 09:58:36;CRESLON001;DEPEN
10.37.127.60;D8:5E:D3:C1:56:6C;255.255.255.0;2024-09-19 11:06:34;10.37.127.60;
10.37.68.25;94:C6:91:C5:83:EF;255.255.255.0;2024-09-19 08:05:27;EDPE910072;
10.37.42.248;34:9F:7B:CB:00:F0;255.255.255.0;2024-09-19 11:17:21;c00000CB00F0.local;
10.37.83.87;10:05:01:98:89:C9;255.255.255.0;2024-09-19 11:18:18;10.37.83.87;
10.37.73.101;C8:CB:B8:28:D4:A6;255.255.255.0;2024-09-19 10:10:05;PAT-54639;
10.37.19.105;0C:54:A5:BD:3C:EE;255.255.255.0;2024-09-19 09:12:17;10.37.19.105;
10.37.7.3;E0:D5:5E:F4:5F:B4;255.255.255.0;2024-09-19 11:27:01;EDPE1146069;
10.37.90.45;D8:5E:D3:7C:07:1E;255.255.255.0;2024-09-19 09:55:24;SALA_ADVOGADOS;
10.37.33.225;94:C6:91:C5:76:F7;255.255.255.0;2024-09-19 10:44:25;EDPE3910129;
10.37.101.96;D0:94:66:E3:E8:E4;255.255.255.0;2024-09-19 09:52:20;10.37.101.96;
